Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-14,4.6766,4.7318,4.5782,4.723,85325517,0.0,0
2016-04-15,4.7158,4.7598,4.6718,4.7398,41727321,0.0,0
2016-04-18,4.6502,4.791,4.6078,4.7702,35114029,0.0,0
2016-04-19,4.7942,4.8478,4.7702,4.8134,48625081,0.0,0
2016-04-20,4.8366,5.0966,4.8062,5.091,100957305,0.0,0
2016-04-21,5.1198,5.2358,5.0894,5.1942,109773066,0.0,0
2016-04-22,5.1718,5.259,5.1558,5.2398,58498371,0.0,0
2016-04-25,5.2198,5.2558,5.099,5.1334,37058877,0.0,0
2016-04-26,5.1374,5.4062,5.1374,5.4054,64113757,0.0,0
2016-04-27,5.3758,5.443,5.3318,5.3918,41686693,0.0,0
2016-04-28,5.1198,5.1198,4.9022,5.0262,102578415,0.0,0
2016-04-29,4.9198,4.975,4.7542,4.7862,63202962,0.0,0
2016-05-02,4.7998,4.8134,4.7134,4.7534,23286628,0.0,0
2016-05-03,4.7438,4.7542,4.5398,4.5718,44368801,0.0,0
2016-05-04,4.5486,4.6046,4.4638,4.4686,69811215,0.0,0
2016-05-05,4.4958,4.5502,4.4062,4.439,38503527,0.0,0
2016-05-06,4.4326,4.5718,4.3766,4.5006,41110159,0.0,0
2016-05-09,4.5638,4.5902,4.3998,4.4214,36381305,0.0,0
2016-05-10,4.4878,4.563,4.4622,4.5054,27742040,0.0,0
2016-05-11,4.5118,4.5278,4.3518,4.4102,30819177,0.0,0
2016-05-12,4.3822,4.4838,4.3358,4.3846,31499914,0.0,0
2016-05-13,4.355,4.4534,4.3078,4.4078,24639462,0.0,0
2016-05-16,4.3734,4.4406,4.3454,4.4302,16277151,0.0,0
2016-05-17,4.4678,4.5806,4.4414,4.4886,32320105,0.0,0
2016-05-18,4.463,4.5598,4.4286,4.5198,31991715,0.0,0
2016-05-19,4.5214,4.5974,4.4526,4.4574,26610643,0.0,0
2016-05-20,4.4846,4.5278,4.4646,4.5062,34929715,0.0,0
2016-05-23,4.5006,4.5398,4.4302,4.4398,21904866,0.0,0
2016-05-24,4.4326,4.6438,4.4166,4.6302,28707653,0.0,0
2016-05-25,4.679,4.9078,4.6686,4.8742,47768236,0.0,0
2016-05-26,4.7998,4.8502,4.7478,4.835,34205787,0.0,0
2016-05-27,4.807,4.8974,4.7982,4.8462,24727213,0.0,0
2016-05-30,4.8558,4.8758,4.8102,4.8558,11084127,0.0,0
2016-05-31,4.8638,4.8854,4.7254,4.7686,26942749,0.0,0
2016-06-01,4.7694,4.7838,4.6278,4.6726,23330744,0.0,0
2016-06-02,4.6622,4.835,4.6598,4.6726,47204307,0.0,0
2016-06-03,4.6958,4.7198,4.5118,4.5702,30870998,0.0,0
2016-06-06,4.5598,4.6494,4.535,4.5806,19296283,0.0,0
2016-06-07,4.6078,4.6662,4.5598,4.5878,23445296,0.0,0
2016-06-08,4.575,4.575,4.4726,4.5014,23104109,0.0,0
2016-06-09,4.4798,4.5246,4.4446,4.4574,37000816,0.0,0
2016-06-10,4.4398,4.4414,4.2654,4.2726,40745101,0.0,0
2016-06-13,4.2238,4.2342,4.1054,4.123,41345449,0.0,0
2016-06-14,4.0918,4.1438,4.0102,4.0294,42800098,0.0,0
2016-06-15,4.079,4.1862,4.0518,4.103,44483397,0.0,0
2016-06-16,4.0278,4.1462,4.0038,4.139,64378770,0.0,0
2016-06-17,4.2246,4.3358,4.2134,4.3174,89984977,0.0,0
2016-06-20,4.4726,4.5022,4.3886,4.4438,47929492,0.0,0
2016-06-21,4.4198,4.4878,4.4158,4.4646,57736923,0.0,0
2016-06-22,4.5046,4.5542,4.431,4.4998,37512619,0.0,0
2016-06-23,4.5174,4.6382,4.4582,4.623,45799853,0.0,0
2016-06-24,3.5998,4.1158,3.5998,3.875,207612400,0.0,0
2016-06-27,4.1118,4.1198,3.7334,3.8102,119067231,0.0,0
2016-06-28,3.9246,3.991,3.8646,3.8806,91223020,0.0,0
2016-06-29,3.9654,4.0214,3.9438,4.0134,104237102,0.0,0
2016-06-30,4.0214,4.0982,3.9214,4.051,91625257,0.0,0
2016-07-01,4.0982,4.1478,3.9846,4.0966,45380551,0.0,0
2016-07-04,4.1126,4.1374,4.0214,4.0822,62469363,0.0,0
2016-07-05,4.0398,4.0846,3.9702,3.9838,111878884,0.0,0
2016-07-06,3.9432,4.0025,3.8554,3.9115,46194152,0.08,0
2016-07-07,3.9432,4.0001,3.9041,3.9464,29229700,0.0,0
2016-07-08,3.9302,4.135,3.896,4.0692,34043847,0.0,0
2016-07-11,4.1058,4.1342,3.9976,4.1115,181999617,0.0,0
2016-07-12,4.1107,4.3042,4.0928,4.2887,43381349,0.0,0
2016-07-13,4.2562,4.3985,4.1798,4.257,40855769,0.0,0
2016-07-14,4.3245,4.3879,4.2936,4.3513,111502133,0.0,0
2016-07-15,4.3383,4.4212,4.2578,4.3456,71732356,0.0,0
2016-07-18,4.3066,4.3489,4.1424,4.2237,67502167,0.0,0
2016-07-19,4.2066,4.2806,4.1489,4.1846,110767379,0.0,0
2016-07-20,4.2277,4.2627,4.1757,4.2261,23930672,0.0,0
2016-07-21,4.2302,4.3123,4.1944,4.2668,83218805,0.0,0
2016-07-22,4.244,4.2993,4.2269,4.2716,30432850,0.0,0
2016-07-25,4.2635,4.2903,4.1822,4.2074,22430017,0.0,0
2016-07-26,4.196,4.2131,4.1001,4.1716,24206328,0.0,0
2016-07-27,4.1806,4.2911,4.1798,4.2472,27041462,0.0,0
